date,dem_ratio,gop_ratio
1/1/23,0.002457002,0.012139605462822459
1/2/23,0.001730104,0.003646308
1/3/23,0.001932367,0.007251154
1/4/23,0.001733102,0.008547009
1/5/23,0.001126126,0.009314141
1/6/23,0.002546689,0.005867014
1/7/23,0,0.005868545
1/8/23,0.002398082,0.005108557
1/9/23,0.001776199,0.005177994
1/10/23,0.025152439024390245,0.010204082
1/11/23,0.014492753623188406,0.008586148
1/12/23,0.003412969,0.010882016036655211
1/13/23,0.002631579,0.007412399
1/14/23,0.009501188,0.009673519
1/15/23,0.00754717,0.004032258
1/16/23,0,0.008174387
1/17/23,0.005084746,0.00667881
1/18/23,0.012,0.005151689
1/19/23,0.004934211,0.003486345
1/20/23,0.005231037,0.005867014
1/21/23,0.014117647,0.003554502
1/22/23,0.00210084,0.002484472
1/23/23,0.016544117647058824,0.004907975
1/24/23,0.018916595012897677,0.025689223
1/25/23,0.009242144,0.014028056112224449
1/26/23,0.011914217633042097,0.010180995475113122
1/27/23,0.017128874388254486,0.007692308
1/28/23,0.00913242,0.00365408
1/29/23,0.03926097,0.014326647564469915
1/30/23,0.019366197,0.010025062656641603
1/31/23,0.007512521,0.008591065
2/1/23,0.013333333333333334,0.009750813
2/2/23,0.012987012987012988,0.011413043
2/3/23,0.016843971631205674,0.007955936
2/4/23,0.009727626,0.004860267
2/5/23,0.005825243,0.003731343
2/6/23,0.015177066,0.008104738
2/7/23,0.014049586776859505,0.006547619
2/8/23,0.015015015015015015,0.005364807
2/9/23,0.009159034,0.00777512
2/10/23,0.015979815,0.009491525
2/11/23,0.009389671,0.002347418
2/12/23,0.007407407,0.004491018
2/13/23,0.000917431,0.010511563
2/14/23,0.007182761,0.005297234
2/15/23,0.008627451,0.003405221
2/16/23,0.002415459,0.004517222
2/17/23,0.002259887,0.007352941
2/18/23,0,0.009744214
2/19/23,0.002518892,0.011435832274459974
2/20/23,0.004884005,0.007692308
2/21/23,0.004180602,0.011945392491467578
2/22/23,0.002439024,0.014784151
2/23/23,0.005020921,0.013218390804597701
2/24/23,0.007073386,0.012928248222365869
2/25/23,0.014492753623188406,0.015337423312883436
2/26/23,0.004237288,0.013351135
2/27/23,0.013501350135013501,0.011042944785276074
2/28/23,0.009538951,0.00960452
3/1/23,0.011676396997497914,0.004553216
3/2/23,0.003980892,0.005760369
3/3/23,0.004385965,0.008119925
3/4/23,0.004158004,0.013969732246798603
3/5/23,0.002150538,0.004026846
3/6/23,0.00990991,0.008233059
3/7/23,0.005258545,0.005257009
3/8/23,0.012519561815336464,0.004072135
3/9/23,0.005485893,0.00389755
3/10/23,0.003499563,0.009738284
3/11/23,0.009501188,0
3/12/23,0.005940594,0.007177033
3/13/23,0.012998266897746967,0.008388256
3/14/23,0.002606429,0.007527504
3/15/23,0.00432526,0.00528169
3/16/23,0.004177109,0.009049774
3/17/23,0.013204225352112676,0.008957134
